Time,Balanca
0,1.0408333333333388
1,1.0408333333333388
2,1.0408333333333388
3,1.0308333333333337
4,1.0408333333333388
5,1.0408333333333388
6,1.0408333333333388
7,1.0208333333333286
8,1.0208333333333286
9,1.0208333333333286
10,1.0208333333333286
11,1.020555555555551
12,1.019999999999996
13,1.0191666666666634
14,1.0180555555555533
15,1.0166666666666657
16,1.0150000000000006
17,1.0133730158730176
18,1.0117857142857167
19,1.010238095238098
20,1.0087301587301616
21,1.0072619047619074
22,1.0058333333333351
23,1.004404761904763
24,1.00279761904762
25,1.001011904761906
26,0.999047619047621
27,0.9969047619047651
28,0.9947222222222266
29,0.9925000000000056
30,0.9904166666666729
31,0.9884722222222286
32,0.9866666666666728
33,0.9850000000000055
34,0.9833333333333379
35,0.9816666666666704
36,0.9800000000000029
37,0.9783333333333353
38,0.9766666666666677
39,0.9750000000000002
40,0.973333333333333
41,0.9716666666666663
42,0.9700000000000001
43,0.968333333333334
44,0.9666666666666686
45,0.9650000000000034
46,0.9633333333333378
47,0.961666666666672
48,0.9600000000000056
49,0.9583333333333389
50,0.9566666666666718
51,0.9550000000000043
52,0.9533333333333367
53,0.9516666666666691
54,0.9500000000000016
55,0.9483333333333341
56,0.9466666666666665
57,0.9449999999999993
58,0.943194444444443
59,0.941249999999998
60,0.9391666666666646
61,0.9369444444444424
62,0.9345833333333315
63,0.932083333333332
64,0.9295833333333325
65,0.927083333333333
66,0.9245454545454546
67,0.9219696969696973
68,0.9193560606060613
69,0.9167045454545462
70,0.9140151515151522
71,0.9112878787878794
72,0.9085606060606065
73,0.9058333333333337
74,0.9031060606060608
75,0.9003787878787879
76,0.8976515151515151
77,0.8951704545454546
78,0.8929356060606061
79,0.8909469696969698
80,0.8892045454545456
81,0.8877083333333338
82,0.886458333333334
83,0.8852083333333343
84,0.8839583333333345
85,0.8827083333333348
86,0.881458333333335
87,0.8802083333333353
88,0.8789583333333355
89,0.8777083333333358
90,0.876458333333336
91,0.8752083333333363
92,0.8739583333333365
93,0.8728125000000033
94,0.8717708333333367
95,0.8708333333333367
96,0.8700000000000032
97,0.8692708333333363
98,0.868645833333336
99,0.8680208333333357
100,0.8673958333333354
101,0.866770833333335
102,0.8661458333333347
103,0.8655208333333344
104,0.8648958333333341
105,0.8642708333333338
106,0.8636458333333334
107,0.8630208333333331
108,0.8623958333333328
109,0.861699561403508
110,0.8609320175438588
111,0.8600932017543851
112,0.8591831140350867
113,0.8582017543859642
114,0.8571491228070169
115,0.8560964912280699
116,0.8550438596491227
117,0.8539912280701756
118,0.8529385964912283
119,0.8518859649122812
120,0.8508333333333341
121,0.8497807017543868
122,0.8487280701754397
123,0.8476754385964925
124,0.8466228070175454
125,0.8455701754385981
126,0.844517543859651
127,0.843464912280704
128,0.8423916408668753
129,0.8412977296181656
130,0.8401831785345745
131,0.8390479876161021
132,0.8378921568627483
133,0.8367156862745132
134,0.8355392156862782
135,0.8343627450980432
136,0.8331862745098081
137,0.832009803921573
138,0.830833333333338
139,0.829656862745103
140,0.8284803921568679
141,0.8273039215686327
142,0.8261274509803977
143,0.8249509803921627
144,0.8237745098039276
145,0.8224910873440345
146,0.8211007130124837
147,0.8196033868092749
148,0.817999108734408
149,0.8162878787878831
150,0.8144696969697004
151,0.8126515151515176
152,0.8108333333333348
153,0.809015151515152
154,0.8071969696969692
155,0.8053787878787865
156,0.8036072261072242
157,0.8018822843822819
158,0.80020396270396
159,0.7985722610722582
160,0.7969871794871767
161,0.7954487179487154
162,0.7939102564102541
163,0.792371794871793
164,0.7908333333333317
165,0.7892948717948705
166,0.7877564102564092
167,0.7862179487179479
168,0.7846794871794867
169,0.7831033182503769
170,0.7814894419306184
171,0.7798378582202113
172,0.7781485671191555
173,0.7764215686274512
174,0.7746568627450982
175,0.7728921568627451
176,0.7711274509803921
177,0.7693627450980391
178,0.7675980392156861
179,0.7658333333333331
180,0.7640686274509801
181,0.7623039215686271
182,0.7605392156862741
183,0.7587745098039211
184,0.7570098039215681
185,0.7552450980392151
186,0.7536554621848734
187,0.7522408963585431
188,0.751001400560224
189,0.7499369747899163
190,0.7490476190476201
191,0.7483333333333348
192,0.7476190476190498
193,0.7469047619047647
194,0.7461904761904796
195,0.7454761904761945
196,0.7447619047619095
197,0.7440476190476244
198,0.7433333333333394
199,0.7426190476190544
200,0.7416391941392014
201,0.7403937728937805
202,0.7388827838827918
203,0.7371062271062352
204,0.7350641025641107
205,0.7327564102564182
206,0.7304487179487258
207,0.7281410256410336
208,0.7258333333333411
209,0.7235256410256486
210,0.7212179487179562
211,0.7189102564102638
212,0.7166025641025715
213,0.7148646723646794
214,0.713696581196588
215,0.7130982905982969
216,0.7130698005698061
217,0.7136111111111157
218,0.7147222222222258
219,0.715833333333336
220,0.7169444444444462
221,0.7180555555555562
222,0.7181481481481481
223,0.7172222222222219
224,0.7152777777777773
225,0.7123148148148147
226,0.7088333333333339
227,0.7048333333333346
228,0.7013333333333354
229,0.6983333333333359
230,0.6958333333333364
231,0.6938333333333367
232,0.6918333333333371
233,0.6898333333333376
234,0.687833333333338
235,0.6858333333333384
236,0.6837500000000052
